location,store_count,total_profit,region
LONDON,2,15158425.7400003,London
BRISTOL,6,13294978.579999728,South West
MANCHESTER,3,11629426.029999824,North West
BIRMINGHAM,2,8363023.420000152,West Midlands
NEWCASTLE,1,6587710.010000115,North East
HORNSEY,4,5819223.17000008,London
DUMFRIES,1,3862327.4899998275,Scotland
HUDDERSFIELD,2,3542587.2200001017,Yorkshire and The Humber
MORPETH,2,3354172.7799998824,North East
SHAFTESBURY,1,3283657.6199998627,South West
BUCKDEN,1,3268934.76999989,East of England
GARRIGILL,1,2740027.659999975,North West
LLANDUDNO,1,2684182.559999904,Wales
ST IVES,1,2510440.8800000306,South West
ROYSTON,1,2493545.7699999684,East of England
ASHBORNE,1,1996780.6100000257,East Midlands
TAMWORTH,2,1839693.0999999524,West Midlands
CLEETHORPES,1,1809796.6500000365,Yorkshire and The Humber
BALLYMENA,1,1784899.4100000514,Northern Ireland
CARDENDEN,1,1774777.7400000633,Scotland
CAERPHILLY,1,1768163.230000044,Wales
STANMORE,1,1760936.1799999636,London
BLACKPOOL,1,1756429.1800000279,North West
ATHELNEY,1,1724506.6200000348,South West
CHESTERFIELD,1,1684009.4799999925,East Midlands
BEGGARS HOLE,1,1617260.7500000568,South West
BROMWICH,1,1521842.650000067,West Midlands
BALERNO,1,1502425.1000000082,Scotland
CLACTON-ON-SEA,1,1481926.0300000077,East of England
NORWICH,1,1413723.030000009,East of England
CULCHETH,1,1268910.27000001,North West
THETFORD,1,1243344.9499999941,East of England
ILKLEY,1,1219128.2000000093,Yorkshire and The Humber
DUNFERMLINE,1,1216078.999999955,Scotland
EYEMOUTH,1,1176793.7199999758,Scotland
ALSTON,1,1145474.8099999945,North West
BANGOR,1,1125854.2599999951,Wales
SEVENOAKS,1,1116203.259999983,South East
PORTHCAWL,1,1107667.9199999825,Wales
ALNWICK,1,1089601.079999992,North East
BREDWARDINE,1,1084683.6899999473,West Midlands
HARTLEPOOL,1,1029421.6399999707,North East
ENFIELD,1,1016524.1199999623,London
BELFAST,1,928119.0899999678,Northern Ireland
KILMARNOCK,1,892032.1799999499,Scotland
EASTHAVEN,1,879118.8399999556,Scotland
KESWICK,1,820145.8899999703,North West
KIRKWALL,1,778573.8699999937,Scotland
POOLE,1,772889.9299999708,South West
LANTEGLOS,1,711990.8199999696,South West
WOLFORD,1,688996.5999999836,South West
KELD,1,630839.5499999827,Yorkshire and The Humber
OLDHAM,1,629074.969999988,North West
LUNDY,1,576372.0199999746,South West
HITCHIN,1,574184.1999999833,East of England
MALMESBURY,1,572198.789999981,South West
LUTON,1,529460.2399999797,East of England
PENRITH,1,517809.2999999656,North West
READING,1,433047.36999996734,South East
LEWES,1,428994.4099999801,South East
SUTTON,1,405317.2099999808,London
ULVERSTON,1,402638.29999998497,North West
PORTSMOUTH,1,327404.9599999891,South East
TYWARDREATH,1,302265.299999997,South West
PEMBROKE,1,284606.9999999969,Wales
AYLESBURY,1,227904.92999999586,South East
TYNEMOUTH,1,171857.6499999992,North East
