VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,GrossProfit,ProfitMargin,SalesToPurchaseRatio,average_onhand,StockTurnover
1128,BROWN-FORMAN CORP          ,1233,Jack Daniels No 7 Black,26.27,36.99,1750,145080.0,3811251.6,142049.0,5254392.51,260999.2,1443140.91,27.47,1.38,13559.5,10.48
17035,PERNOD RICARD USA          ,8068,Absolut 80 Proof,18.24,24.99,1750,187407.0,3418303.68,187140.0,4676628.6,343854.07,1258324.92,26.91,1.37,15483.5,12.09
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750,164038.0,3804041.22,160247.0,4645560.53,294438.66,841519.31,18.11,1.22,10409.5,15.39
3960,DIAGEO NORTH AMERICA INC   ,4261,Capt Morgan Spiced Rum,16.17,22.99,1750,201682.0,3261197.94,200412.0,4607471.88,368242.8,1346273.94,29.22,1.41,16162.0,12.4
3960,DIAGEO NORTH AMERICA INC   ,3545,Ketel One Vodka,21.89,29.99,1750,138109.0,3023206.01,135838.0,4073781.62,249587.83,1050575.61,25.79,1.35,15643.5,8.68
480,BACARDI USA INC            ,3858,Grey Goose Vodka,17.77,23.99,750,138809.0,2466635.93,141860.0,3403221.4,111699.19,936585.47,27.52,1.38,12132.5,11.69
17035,PERNOD RICARD USA          ,2589,Jameson Irish Whiskey,30.76,39.99,1750,70783.0,2177285.08,69627.0,2784383.73,127931.67,607098.65,21.8,1.28,7372.0,9.44
3960,DIAGEO NORTH AMERICA INC   ,3102,Smirnoff Traveler,12.94,17.99,1750,161386.0,2088334.84,148265.0,2667287.35,272422.6,578952.51,21.71,1.28,8236.5,18.0
3960,DIAGEO NORTH AMERICA INC   ,3489,Tanqueray,20.73,27.99,1750,91835.0,1903739.55,90481.0,2532563.19,166244.44,628823.64,24.83,1.33,8977.0,10.08
10000,MAJESTIC FINE WINES        ,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750,215668.0,1460072.36,214238.0,2354475.62,24083.77,894403.26,37.99,1.61,12329.0,17.38
12546,JIM BEAM BRANDS COMPANY    ,1376,Jim Beam,16.29,21.99,1750,108866.0,1773427.14,107061.0,2354271.39,196707.35,580844.25,24.67,1.33,12286.5,8.71
3960,DIAGEO NORTH AMERICA INC   ,8082,Baileys Irish Cream,21.73,33.99,1750,64249.0,1396130.77,65184.0,2215604.16,119767.49,819473.39,36.99,1.59,8847.5,7.37
480,BACARDI USA INC            ,2663,Dewars White Label,21.42,29.99,1750,69001.0,1478001.42,70122.0,2102958.78,128839.08,624957.36,29.72,1.42,7340.5,9.55
17035,PERNOD RICARD USA          ,2585,Jameson Irish Whiskey,16.42,22.99,750,93205.0,1530426.1,91247.0,2097768.53,71840.57,567342.43,27.05,1.37,9517.0,9.59
9165,ULTRA BEVERAGE COMPANY LLP ,3650,Patron Silver Tequila,33.81,48.99,750,42951.0,1452173.31,41639.0,2039894.61,32783.09,587721.3,28.81,1.4,4922.0,8.46
3960,DIAGEO NORTH AMERICA INC   ,8680,Crown Royal,28.88,39.99,1750,47546.0,1373128.48,47966.0,1918160.34,88129.8,545031.86,28.41,1.4,6865.0,6.99
480,BACARDI USA INC            ,126,Grey Goose Vodka,20.14,32.99,1000,59878.0,1205942.92,58013.0,1913848.87,60913.65,707905.95,36.99,1.59,3828.5,15.15
3960,DIAGEO NORTH AMERICA INC   ,2757,Johnnie Walker Red Label,22.38,29.99,1750,66942.0,1498161.96,61433.0,1842375.67,112875.19,344213.71,18.68,1.23,8857.5,6.94
17035,PERNOD RICARD USA          ,5364,Kahlua,23.07,29.99,1750,60645.0,1399080.15,59771.0,1792532.29,109817.07,393452.14,21.95,1.28,8516.0,7.02
3960,DIAGEO NORTH AMERICA INC   ,4260,Capt Morgan Original Barrel,16.66,21.99,1750,79078.0,1317439.48,79042.0,1738133.58,145234.95,420694.1,24.2,1.32,272.0,290.6
480,BACARDI USA INC            ,3348,Bombay Sapphire Gin,22.38,29.99,1750,57349.0,1283470.62,56888.0,1706071.12,104524.54,422600.5,24.77,1.33,5381.5,10.57
3960,DIAGEO NORTH AMERICA INC   ,2753,Johnnie Walker Black Label,44.77,59.99,1750,31596.0,1414552.92,28372.0,1702036.28,52133.72,287483.36,16.89,1.2,6407.0,4.43
12546,JIM BEAM BRANDS COMPANY    ,3512,Pinnacle Vodka,11.76,16.99,1750,101480.0,1193404.8,98938.0,1680956.62,181782.13,487551.82,29.0,1.41,10813.0,9.15
480,BACARDI USA INC            ,3857,Grey Goose Vodka,38.27,49.99,1750,33388.0,1277758.76,32945.0,1646920.55,60533.43,369161.79,22.42,1.29,4531.5,7.27
12546,JIM BEAM BRANDS COMPANY    ,2120,Canadian Club,12.21,16.99,1750,97473.0,1190145.33,94960.0,1613370.4,174471.93,423225.07,26.23,1.36,9262.5,10.25
8112,MOET HENNESSY USA INC      ,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750,29829.0,1014484.29,29498.0,1563099.02,3314.23,548614.73,35.1,1.54,3854.5,7.65
480,BACARDI USA INC            ,4243,Bacardi Superior Rum,14.49,19.99,1750,76389.0,1106876.61,77041.0,1540049.59,141551.61,433172.98,28.13,1.39,11323.0,6.8
8112,MOET HENNESSY USA INC      ,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750,40380.0,1098336.0,38506.0,1539854.94,4316.36,441518.94,28.67,1.4,4856.0,7.93
8664,"STOLI GROUP,(USA) LLC      ",8112,Stolichnaya,19.52,24.99,1750,61936.0,1208990.72,61323.0,1532461.77,112669.45,323471.05,21.11,1.27,8384.5,7.31
7245,PROXIMO SPIRITS INC.       ,8159,Jose Cuervo Especial,19.69,25.99,1750,59088.0,1163442.72,58610.0,1523273.9,107685.03,359831.18,23.62,1.31,7717.0,7.59
3960,DIAGEO NORTH AMERICA INC   ,8512,Baileys Irish Cream,14.72,19.99,750,72952.0,1073853.44,73122.0,1461708.78,57570.69,387855.34,26.53,1.36,10060.0,7.27
7245,PROXIMO SPIRITS INC.       ,3802,Three Olives Vodka,13.43,18.99,1750,77066.0,1034996.38,74722.0,1418970.78,137288.58,383974.4,27.06,1.37,9043.0,8.26
480,BACARDI USA INC            ,4227,Bacardi Superior Rum Trav,14.17,17.99,1750,68294.0,967725.98,75147.0,1351894.53,138074.09,384168.55,28.42,1.4,4334.5,17.34
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750,69299.0,953554.24,70603.0,1340750.97,55584.91,387196.73,28.88,1.41,3968.0,17.79
17035,PERNOD RICARD USA          ,5734,Malibu Rum,15.82,21.99,1750,61639.0,975128.98,60102.0,1321642.98,110429.45,346514.0,26.22,1.36,6823.5,8.81
11567,CAMPARI AMERICA            ,3826,Skyy Vodka,15.74,19.99,1750,65382.0,1029112.68,64388.0,1287116.12,118298.37,258003.44,20.05,1.25,6984.0,9.22
3960,DIAGEO NORTH AMERICA INC   ,3876,Smirnoff 80 Proof,13.95,19.99,1750,50962.0,710919.9,64266.0,1284677.34,118078.45,573757.44,44.66,1.81,8312.0,7.73
1128,BROWN-FORMAN CORP          ,1232,Jack Daniels No 7 Black,15.93,22.99,750,52932.0,843206.76,53206.0,1223205.94,41888.06,379999.18,31.07,1.45,5075.0,10.48
17035,PERNOD RICARD USA          ,3423,Beefeater,21.25,26.99,1750,46163.0,980963.75,44762.0,1208126.38,82244.16,227162.63,18.8,1.23,6122.5,7.31
8004,SAZERAC CO INC             ,5138,Fireball Cinnamon Whisky,11.1,13.99,750,87954.0,976289.4,84289.0,1179203.11,66360.95,202913.71,17.21,1.21,7058.5,11.94
8004,SAZERAC CO INC             ,5103,Fireball Cinnamon Whisky,17.14,23.99,1750,44198.0,757553.72,43533.0,1044356.67,79984.58,286802.95,27.46,1.38,3697.5,11.77
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8.44,12.99,750,80030.0,675453.2,78392.0,1018312.08,8799.82,342858.88,33.67,1.51,6748.0,11.62
12546,JIM BEAM BRANDS COMPANY    ,1385,Makers Mark,20.45,26.99,750,41048.0,839431.6,37615.0,1015228.85,29615.6,175797.25,17.32,1.21,5067.5,7.42
1128,BROWN-FORMAN CORP          ,811,Jack Daniels No 7 Black,19.84,29.99,1000,32554.0,645871.36,32064.0,961599.36,33667.2,315728.0,32.83,1.49,2141.0,14.98
3960,DIAGEO NORTH AMERICA INC   ,2432,Crown Royal,17.59,22.99,750,41893.0,736897.87,41506.0,954222.94,32678.12,217325.07,22.78,1.29,7696.5,5.39
1392,CONSTELLATION BRANDS INC   ,2114,Black Velvet Canadian Whisky,9.41,12.99,1750,73227.0,689066.07,72043.0,935838.57,132364.71,246772.5,26.37,1.36,8475.0,8.5
4425,MARTIGNETTI COMPANIES,6967,Santa Margherita Pnt Grigio,11.89,19.99,750,46257.0,549995.73,46511.0,929754.89,5216.4,379759.16,40.85,1.69,5652.0,8.23
17035,PERNOD RICARD USA          ,5365,Kahlua,14.84,18.99,750,48583.0,720971.72,48615.0,923198.85,38272.73,202227.13,21.91,1.28,8178.0,5.94
3252,E & J GALLO WINERY         ,14006,Apothic Winemakers Red Blend,5.44,9.99,750,94779.0,515597.76,91600.0,915084.0,10283.26,399486.24,43.66,1.77,7240.5,12.65
8004,SAZERAC CO INC             ,3522,Platinum 7X Distilled Vodka,9.62,12.99,1750,71899.0,691668.38,70351.0,913859.49,129253.37,222191.11,24.31,1.32,3380.0,20.81
1392,CONSTELLATION BRANDS INC   ,6682,R M Woodbridge Chard Cal,6.03,8.99,1500,101547.0,612328.41,101339.0,911037.61,22776.05,298709.2,32.79,1.49,5787.0,17.51
660,SAZERAC NORTH AMERICA INC. ,2127,Canadian Ltd,7.19,10.49,1750,86887.0,624717.53,86195.0,904185.55,158367.21,279468.02,30.91,1.45,6052.0,14.24
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,6.59,9.95,750,91140.0,600612.6,90267.0,898156.65,10138.88,297544.05,33.13,1.5,3034.5,29.75
17035,PERNOD RICARD USA          ,8000,The Glenlivet 12 Yr Single,53.96,67.99,1750,13759.0,742435.64,13210.0,898147.9,24275.31,155712.26,17.34,1.21,2490.5,5.3
6785,PALM BAY INTERNATIONAL INC ,6937,Cavit Pinot Grigio,6.75,9.99,1500,88752.0,599076.0,87974.0,878860.26,19771.27,279784.26,31.83,1.47,6176.0,14.24
1392,CONSTELLATION BRANDS INC   ,3913,Svedka Vodka,14.28,17.99,1750,48481.0,692308.68,47805.0,860011.95,87832.83,167703.27,19.5,1.24,8009.0,5.97
3960,DIAGEO NORTH AMERICA INC   ,3798,Ciroc Apple Vodka,19.83,28.99,750,30830.0,611358.9,29647.0,859466.53,23348.15,248107.63,28.87,1.41,2500.5,11.86
4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,16.54,23.99,1000,35922.0,594149.88,34901.0,837274.99,36646.05,243125.11,29.04,1.41,2874.5,12.14
12546,JIM BEAM BRANDS COMPANY    ,1737,Makers Mark,34.3,51.99,1750,17537.0,601519.1,16089.0,836467.11,29564.92,234948.01,28.09,1.39,3060.0,5.26
8112,MOET HENNESSY USA INC      ,4689,Hennessy Privilege VSOP,33.33,45.99,750,17838.0,594540.54,18005.0,828049.95,14178.85,233509.41,28.2,1.39,2511.5,7.17
9552,M S WALKER INC             ,3893,Zhenka 80 Proof,7.93,9.99,1750,81447.0,645874.71,81723.0,816412.77,150149.63,170538.06,20.89,1.26,5765.0,14.18
8112,MOET HENNESSY USA INC      ,7865,Moet & Chandon Imperial,23.97,34.99,750,24088.0,577389.36,23290.0,814917.1,2606.53,237527.74,29.15,1.41,3734.0,6.24
3960,DIAGEO NORTH AMERICA INC   ,2443,Seagrams VO,13.48,16.99,1750,47654.0,642375.92,47446.0,806107.54,87173.57,163731.62,20.31,1.25,3948.0,12.02
3960,DIAGEO NORTH AMERICA INC   ,4262,Capt Morgan Spiced Rum,11.19,13.99,750,54552.0,610436.88,55710.0,779382.9,43861.64,168946.02,21.68,1.28,4288.0,12.99
1128,BROWN-FORMAN CORP          ,5299,Southern Comfort,15.26,21.99,1750,36909.0,563231.34,35129.0,772486.71,64545.16,209255.37,27.09,1.37,4222.0,8.32
1128,BROWN-FORMAN CORP          ,2015,Jack Daniels Tennessee Honey,18.1,22.99,750,33715.0,610241.5,32969.0,757957.31,25959.91,147715.81,19.49,1.24,4076.0,8.09
17035,PERNOD RICARD USA          ,3625,Absolut 80 Proof,12.59,16.99,750,45969.0,578749.71,44406.0,754457.94,34961.13,175708.23,23.29,1.3,4307.5,10.31
3960,DIAGEO NORTH AMERICA INC   ,3746,Gordons Vodka 80 Proof,8.52,12.99,1750,58309.0,496792.68,57845.0,751406.55,106278.68,254613.87,33.88,1.51,4428.0,13.06
7239,REMY COINTREAU USA INC     ,5242,Cointreau Liqueur,22.05,29.99,750,25361.0,559210.05,24770.0,742852.3,19504.75,183642.25,24.72,1.33,2427.5,10.2
1128,BROWN-FORMAN CORP          ,2760,Jack Daniels Tennessee Honey,28.02,38.99,1750,19219.0,538516.38,18250.0,711567.5,33536.43,173051.12,24.32,1.32,3565.5,5.12
3960,DIAGEO NORTH AMERICA INC   ,8178,Bulleit Bourbon,18.51,25.99,750,28421.0,526072.71,27204.0,707031.96,21421.64,180959.25,25.59,1.34,3347.5,8.13
1392,CONSTELLATION BRANDS INC   ,38546,Mark West Pnt Nr Sonoma,5.06,9.99,750,70531.0,356886.86,70188.0,701178.12,7876.0,344291.26,49.1,1.96,7037.5,9.97
480,BACARDI USA INC            ,4245,Bacardi Superior Rum,7.93,11.99,750,58816.0,466410.88,58320.0,699256.8,45919.42,232845.92,33.3,1.5,3589.0,16.25
8664,"STOLI GROUP,(USA) LLC      ",3630,Stolichnaya Razberi,19.83,24.99,1750,27479.0,544908.57,27622.0,690273.78,50751.81,145365.21,21.06,1.27,2753.5,10.03
9165,ULTRA BEVERAGE COMPANY LLP ,36378,MezzaCorona Pnt Grigio,6.83,9.97,1500,68084.0,465013.72,67195.0,669934.15,15097.47,204920.43,30.59,1.44,4791.5,14.02
3960,DIAGEO NORTH AMERICA INC   ,3276,Gordons London Dry,9.62,14.99,1750,44631.0,429350.22,44434.0,666065.66,81641.21,236715.44,35.54,1.55,3607.5,12.32
7245,PROXIMO SPIRITS INC.       ,3776,Jose Cuervo Especial Silver,18.56,25.99,1750,26795.0,497315.2,25596.0,665240.04,47031.43,167924.84,25.24,1.34,4782.5,5.35
12546,JIM BEAM BRANDS COMPANY    ,1346,Knob Creek Bourbon,22.55,29.99,750,25540.0,575927.0,22144.0,664098.56,17438.07,88171.56,13.28,1.15,4288.0,5.16
3089,SIDNEY FRANK IMPORTING CO  ,5445,Jagermeister Liqueur,11.76,15.99,750,44330.0,521320.8,41133.0,657716.67,32383.34,136395.87,20.74,1.26,6009.5,6.84
8112,MOET HENNESSY USA INC      ,5342,Grand Marnier,19.85,28.99,750,22234.0,441344.9,22623.0,655840.77,17815.45,214495.87,32.71,1.49,3050.5,7.42
17035,PERNOD RICARD USA          ,3728,Absolut Citron,18.93,24.99,1750,25959.0,491403.87,26222.0,655287.78,48180.15,163883.91,25.01,1.33,2644.5,9.92
7239,REMY COINTREAU USA INC     ,4722,Remy Martin VSOP Cognac,27.77,34.99,750,19910.0,552900.7,18637.0,652108.63,14677.69,99207.93,15.21,1.18,2931.5,6.36
1392,CONSTELLATION BRANDS INC   ,19748,Clos du Bois Chard,9.2,13.99,1500,47153.0,433807.6,46069.0,644505.31,10347.03,210697.71,32.69,1.49,5382.0,8.56
3089,SIDNEY FRANK IMPORTING CO  ,5440,Jagermeister Liqueur,25.92,34.99,1750,18298.0,474284.16,18082.0,632689.18,33226.63,158405.02,25.04,1.33,3449.0,5.24
10000,MAJESTIC FINE WINES        ,24325,La Crema Chard Sonoma Cst,10.88,15.99,750,41274.0,449061.12,39387.0,629798.13,4415.6,180737.01,28.7,1.4,5371.5,7.33
3664,WILLIAM GRANT & SONS INC   ,3238,Hendrick's Gin,22.83,29.99,750,22352.0,510296.16,20847.0,625201.53,16416.8,114905.37,18.38,1.23,2530.5,8.24
1392,CONSTELLATION BRANDS INC   ,8504,R M Woodbridge Cab Svgn Cal,5.84,8.99,1500,69263.0,404495.92,68667.0,617316.33,15427.26,212820.41,34.48,1.53,5019.0,13.68
12546,JIM BEAM BRANDS COMPANY    ,3980,Hornitos Reposado Tequila,31.99,39.99,1750,15805.0,505601.95,15381.0,615086.19,28264.51,109484.24,17.8,1.22,2109.0,7.29
17035,PERNOD RICARD USA          ,482,Absolut 80 Proof,14.28,21.99,1000,28888.0,412520.64,27866.0,612773.34,29259.3,200252.7,32.68,1.49,2599.0,10.72
2561,EDRINGTON AMERICAS         ,2520,The Macallan 12 Yr Old,42.21,62.99,750,10227.0,431681.67,9713.0,611821.87,7651.83,180140.2,29.44,1.42,2135.0,4.55
4425,MARTIGNETTI COMPANIES,14672,Duckhorn Decoy Cab Svgn,11.61,21.99,750,27814.0,322920.54,27729.0,609760.71,3105.32,286840.17,47.04,1.89,3852.5,7.2
8112,MOET HENNESSY USA INC      ,8622,Dom Perignon,87.09,145.99,750,4544.0,395736.96,4127.0,602500.73,459.15,206763.77,34.32,1.52,2564.5,1.61
3924,HEAVEN HILL DISTILLERIES   ,3243,Burnetts Vodka,8.26,10.49,1750,57575.0,475569.5,57067.0,598632.83,104847.72,123063.33,20.56,1.26,3491.0,16.35
3252,E & J GALLO WINERY         ,14622,La Marca Prosecco,8.66,12.99,750,46387.0,401711.42,45608.0,592447.92,5114.6,190736.5,32.19,1.47,3465.5,13.16
2555,DISARONNO INTERNATIONAL LLC,5311,Amaretto DiSaronno,23.7,31.99,1750,18409.0,436293.3,18376.0,587848.24,33767.5,151554.94,25.78,1.35,2285.5,8.04
